board_name,width,height,area,aspect_ratio,pin_density,obstacle_density,mean_net_pins,std_net_pins,mean_manhattan_len,std_manhattan_len,frac_long_nets,avg_net_bbox_area,mean_routed_len,mean_stretch,routing_efficiency,final_occupied_ratio,total_nets,successful,failed,success_rate,total_wirelength,via_count
ACtoDCconverter.kicad_pcb,36.20000000000002,31.099999999999994,1125.8200000000004,1.1639871382636664,0.01776482919116732,0.11648745519713262,4.0,1.6733200530681511,19.39159999999998,4.42217513799614,0.4,297.5568799999995,12.6,1.0760249821027479,92.93455888916554,0.17204301075268819,5,5,0,100.0,63,0
base-IO-8HP-teensy.kicad_pcb,39.30000000000001,100.0,3930.000000000001,0.3930000000000001,0.03969465648854961,0.07025641025641026,4.545454545454546,4.356054018440341,21.520786690433745,19.778535145929904,0.45454545454545453,886.1513090909089,43.75,1.8880741908131122,19.259633589050086,0.11435897435897435,11,4,7,36.36363636363637,175,0
boostboard1.kicad_pcb,15.239999999999995,15.239999999999995,232.25759999999985,1.0,0.159305874167304,0.24888888888888888,4.111111111111111,2.6434171674156266,5.522821001763669,2.743552716245524,0.4444444444444444,35.183432858799996,9.714285714285714,1.9274185953875842,40.35331899909292,0.5422222222222223,9,7,2,77.77777777777779,68,0
Chipkit_Shield_uC.kicad_pcb,68.57999999999998,53.34000000000002,3658.0572,1.285714285714285,0.0016402149206414813,0.0660377358490566,3.0,1.0,47.623941666666624,7.430558333333334,0.5,965.6048429799982,48.5,1.0259501375818474,97.47052889448382,0.09295227524972254,2,2,0,100.0,97,0
CubeSatKit_StackBoard.kicad_pcb,90.16492000000001,95.87992,8645.005316406401,0.9403941930698316,0.012030067789852007,0.04280701754385965,,,,,,,,,,,0,0,0,0,0,0
d1_mini_shield.kicad_pcb,25.706219000000004,34.40173399999999,884.338508183746,0.7472361422246917,0.01809261934421559,0.13411764705882354,,,,,,,,,,,0,0,0,0,0,0
demofile.kicad_pcb,102.5,70.7,7246.75,1.4497878359264498,0.0008279573601959499,0.047619047619047616,2.0,0.0,42.923333333333325,2.0304528777809394,0.3333333333333333,183.4228333333332,43.666666666666664,1.0177162202518704,98.25912150258344,0.06582633053221289,3,3,0,100.0,131,0
ESP-Sensors.kicad_pcb,58.420000000000016,53.974999999999994,3153.2195000000006,1.082352941176471,0.028542256573004188,0.07091737150292778,3.75,4.493050188902857,39.643189985708744,19.07588095371756,0.5,641.0999214666668,37.92857142857143,1.1699086292305971,49.86140115087081,0.24268054651919324,24,14,10,58.333333333333336,531,0
Explorer.kicad_pcb,100.0,100.0,10000.0,1.0,0.0756,0.0396,4.61437908496732,8.435161533999251,13.95517633380408,11.136340959765656,0.49673202614379086,244.92945420751636,24.41,1.8878033666459304,34.62195462568373,0.2817,153,100,53,65.359477124183,2441,0
GettingToBlinky.kicad_pcb,35.559999999999974,35.56000000000002,1264.5135999999998,0.9999999999999988,0.016607176071495002,0.1110204081632653,3.3333333333333335,1.1055415967851334,13.09561111111111,2.573887896611081,0.5,116.94794999999999,20.5,1.3808205123224233,72.42065618735082,0.21142857142857144,6,6,0,100.0,123,0
Jamma_rgbuntu_xbox360.kicad_pcb,125.72999999999999,77.03600000000002,9685.736280000001,1.6320940858819248,0.024365726381309235,0.04155844155844156,3.6595744680851063,4.9734469221062065,59.1645796997329,30.6979408681288,0.48936170212765956,2360.245200255319,99.41176470588235,1.61644723377613,22.376350822854032,0.21703896103896103,47,17,30,36.17021276595745,1690,0
Prototyping_PCB.kicad_pcb,160.0,32.58800000000001,5214.080000000002,4.90978274211366,0.023206394992021595,0.07421875,3.0,1.224744871391589,18.754468142857146,6.61971909362306,0.5,134.18143804987986,17.3,1.3141996633257897,38.04594031589301,0.140625,40,20,20,50.0,346,0
scart_duplicator.kicad_pcb,70.0,81.0,5670.0,0.8641975308641975,0.02821869488536155,0.05255731922398589,3.6052631578947367,5.503776089789391,22.18340043547784,16.192298950115298,0.5,460.53017253289477,18.391304347826086,1.3757117263060619,43.996333414748165,0.12610229276895943,38,23,15,60.526315789473685,423,0
simple.kicad_pcb,43.0,11.000000000000002,473.00000000000006,3.9090909090909083,0.012684989429175474,0.21987315010570824,2.0,0.0,27.180000000000003,17.423111088436528,0.0,13.0,22.5,1.3063885934358819,51.03122912310514,0.3150105708245243,3,2,1,66.66666666666666,45,0
ups-12v.kicad_pcb,131.8,99.9,13166.820000000002,1.3193193193193193,0.014809954111926796,0.03516076798519547,4.534883720930233,5.686985702622086,30.00137331551897,26.605966766515277,0.4883720930232558,1057.4559883720929,49.96774193548387,1.9972255794591875,36.09656710824238,0.15390546688256612,43,31,12,72.09302325581395,1549,0
